Person_Age,Person_Income,Loan_Amount,Credit_Score,Years_at_Job,Existing_Loans,Education_Level,Home_Ownership,Default_Next_Month,Application_Source,Application_ID
68,20246.0,27944,745,16,3,Master,Own,0,Web_Portal,APP-1321
31,98229.0,48899,812,1,1,High School,Rent,0,Web_Portal,APP-3678
19,86640.0,26230,542,34,4,Master,Mortgage,0,Web_Portal,APP-5625
62,182246.0,40897,707,24,4,PhD,Mortgage,0,Web_Portal,APP-5949
78,114208.0,48383,497,36,2,High School,Mortgage,0,Web_Portal,APP-9328
39,141754.0,46952,441,26,1,PhD,Own,0,Web_Portal,APP-4337
59,190372.0,37495,761,14,4,Bachelor,Mortgage,0,Web_Portal,APP-6589
68,119173.0,48136,818,15,2,High School,Own,0,Web_Portal,APP-1251
71,86846.0,40882,841,1,1,Master,Mortgage,0,Web_Portal,APP-4973
37,140860.0,29253,679,25,2,Master,Rent,0,Web_Portal,APP-7630
58,188147.0,13549,345,11,0,Master,Rent,0,Web_Portal,APP-6547
56,112479.0,47993,724,10,1,Master,Rent,0,Web_Portal,APP-1035
76,164973.0,18191,619,11,0,Bachelor,Rent,1,Web_Portal,APP-9362
54,67024.0,12454,604,23,0,High School,Rent,0,Web_Portal,APP-2513
57,105261.0,19808,369,0,4,High School,Own,1,Web_Portal,APP-10317
31,28798.0,19926,701,22,0,Master,Own,0,Web_Portal,APP-1039
62,48390.0,38565,354,24,0,High School,Mortgage,0,Web_Portal,APP-5819
79,182581.0,8636,352,13,0,Bachelor,Mortgage,0,Web_Portal,APP-4465
30,124887.0,24003,686,9,4,Master,Mortgage,0,Web_Portal,APP-2760
54,,10368,580,35,2,Master,Mortgage,0,Web_Portal,APP-3304
20,174635.0,41831,642,2,4,Master,Own,1,Web_Portal,APP-4723
75,163414.0,34383,554,13,1,PhD,Mortgage,0,Web_Portal,APP-9284
67,108405.0,4492,447,29,0,Bachelor,Mortgage,0,Web_Portal,APP-5993
78,196871.0,17175,523,28,1,Bachelor,Rent,0,Web_Portal,APP-9127
58,169854.0,34655,663,31,1,Master,Mortgage,0,Web_Portal,APP-4032
45,120037.0,21590,701,31,1,High School,Mortgage,0,Web_Portal,APP-8938
19,172049.0,41276,598,35,4,Master,Own,0,Web_Portal,APP-4039
80,118972.0,31931,632,15,4,Master,Own,0,Web_Portal,APP-10655
47,86480.0,22031,724,6,3,Bachelor,Rent,1,Web_Portal,APP-3545
18,120364.0,44798,642,16,0,PhD,Mortgage,1,Web_Portal,APP-3592
30,56365.0,6289,692,36,1,PhD,Own,0,Web_Portal,APP-2188
38,27482.0,28460,682,24,2,High School,Mortgage,1,Web_Portal,APP-8966
41,129365.0,12718,537,1,4,PhD,Mortgage,0,Web_Portal,APP-7077
44,112510.0,6050,455,15,3,Master,Mortgage,0,Web_Portal,APP-1107
75,133805.0,23326,649,32,0,PhD,Rent,0,Web_Portal,APP-2315
21,126435.0,37978,581,3,4,High School,Rent,0,Web_Portal,APP-9187
82,88868.0,36736,756,15,2,Bachelor,Mortgage,1,Web_Portal,APP-3753
65,59732.0,29940,319,24,2,Master,Own,0,Web_Portal,APP-10753
27,190316.0,37726,729,39,1,Bachelor,Rent,0,Web_Portal,APP-7231
58,161868.0,35236,411,27,2,Bachelor,Mortgage,1,Web_Portal,APP-3876
33,128333.0,42767,620,35,0,High School,Mortgage,0,Web_Portal,APP-6323
55,160467.0,12946,782,0,1,Bachelor,Rent,0,Web_Portal,APP-1799
27,35791.0,19643,376,29,0,Master,Rent,0,Web_Portal,APP-4570
54,122552.0,49049,822,9,3,High School,Mortgage,0,Web_Portal,APP-3894
77,131597.0,9679,530,4,2,High School,Rent,0,Web_Portal,APP-3927
81,187760.0,21417,685,3,3,Bachelor,Mortgage,0,Web_Portal,APP-9178
79,101397.0,38043,471,31,2,High School,Rent,0,Web_Portal,APP-1971
39,178384.0,12274,303,16,1,PhD,Own,0,Web_Portal,APP-7687
72,153864.0,41747,630,25,0,Bachelor,Rent,0,Web_Portal,APP-9575
81,23515.0,45879,722,18,0,PhD,Rent,0,Web_Portal,APP-3020
46,70426.0,20071,707,8,4,PhD,Mortgage,1,Web_Portal,APP-10054
50,178987.0,35481,699,38,2,Bachelor,Own,0,Web_Portal,APP-1952
49,102850.0,10629,669,15,4,Bachelor,Mortgage,0,Web_Portal,APP-6359
77,,21661,682,25,0,Master,Mortgage,0,Web_Portal,APP-4857
33,27084.0,5993,324,18,0,Bachelor,Rent,1,Web_Portal,APP-6861
85,73257.0,40579,790,0,3,Bachelor,Rent,0,Web_Portal,APP-4145
79,197605.0,2473,628,4,3,Bachelor,Rent,0,Web_Portal,APP-4305
54,134362.0,31311,514,19,0,Bachelor,Own,0,Web_Portal,APP-4006
58,148872.0,4964,514,16,2,PhD,Mortgage,0,Web_Portal,APP-10001
45,77055.0,22012,819,13,1,Bachelor,Rent,0,Web_Portal,APP-8770
80,127211.0,25440,841,34,2,Master,Mortgage,0,Web_Portal,APP-8438
69,129287.0,21558,407,22,3,High School,Mortgage,0,Web_Portal,APP-8942
34,67367.0,40933,568,35,2,Master,Own,0,Web_Portal,APP-10238
21,199300.0,47723,381,0,2,Bachelor,Rent,0,Web_Portal,APP-2056
64,176726.0,29090,609,29,1,High School,Own,0,Web_Portal,APP-4154
79,104117.0,43707,336,20,0,PhD,Rent,0,Web_Portal,APP-4787
87,182423.0,27204,725,13,2,High School,Rent,0,Web_Portal,APP-10189
52,61003.0,44239,445,16,3,High School,Own,0,Web_Portal,APP-8825
41,185549.0,45378,321,1,2,High School,Own,0,Web_Portal,APP-8539
34,58230.0,40773,603,28,4,Bachelor,Own,0,Web_Portal,APP-8231
62,29759.0,39766,632,8,4,Bachelor,Mortgage,0,Web_Portal,APP-1764
26,79683.0,19787,348,17,4,PhD,Rent,0,Web_Portal,APP-6019
36,68720.0,9553,690,0,1,PhD,Mortgage,0,Web_Portal,APP-5903
55,123603.0,25713,711,12,2,Master,Rent,0,Web_Portal,APP-9093
58,139070.0,44171,431,26,1,Master,Rent,1,Web_Portal,APP-7843
71,30662.0,1461,788,23,1,Master,Rent,0,Web_Portal,APP-3165
33,57116.0,18913,578,12,4,PhD,Mortgage,0,Web_Portal,APP-2862
75,115716.0,35555,473,39,3,Bachelor,Own,0,Web_Portal,APP-8850
65,,21956,344,30,0,PhD,Mortgage,0,Web_Portal,APP-10123
56,172026.0,17877,424,34,0,High School,Mortgage,0,Web_Portal,APP-3340
49,142428.0,12267,813,17,2,High School,Mortgage,0,Web_Portal,APP-6527
66,119806.0,43042,444,6,1,Master,Own,0,Web_Portal,APP-7743
66,128558.0,22901,813,5,3,Master,Rent,1,Web_Portal,APP-5003
68,109882.0,43835,342,14,1,Master,Rent,0,Web_Portal,APP-2123
68,79870.0,13519,632,10,1,Bachelor,Mortgage,0,Web_Portal,APP-9709
86,109451.0,36455,730,25,4,High School,Mortgage,0,Web_Portal,APP-5049
87,,46462,462,22,4,Master,Mortgage,0,Web_Portal,APP-8640
61,199504.0,34370,319,28,4,PhD,Rent,0,Web_Portal,APP-1765
76,51661.0,22471,341,28,1,High School,Own,0,Web_Portal,APP-3344
32,159334.0,21247,346,19,2,Bachelor,Rent,1,Web_Portal,APP-5071
55,101163.0,39779,698,31,0,Master,Own,1,Web_Portal,APP-8216
85,175161.0,32986,378,35,2,Master,Rent,0,Web_Portal,APP-5216
60,139247.0,6099,808,32,3,Master,Mortgage,1,Web_Portal,APP-8952
53,65330.0,22085,741,29,4,High School,Rent,0,Web_Portal,APP-6970
27,,1937,388,1,2,High School,Rent,0,Web_Portal,APP-4350
87,188768.0,45974,744,2,0,High School,Mortgage,0,Web_Portal,APP-5695
57,35169.0,21578,570,19,3,PhD,Own,0,Web_Portal,APP-4399
55,194224.0,25498,571,39,3,Master,Mortgage,0,Web_Portal,APP-5081
59,136853.0,34849,640,7,0,High School,Own,1,Web_Portal,APP-10149
78,178964.0,1489,404,32,0,PhD,Mortgage,1,Web_Portal,APP-2224
70,20891.0,6178,526,27,0,Master,Rent,0,Web_Portal,APP-7292
46,72756.0,48838,503,24,1,Bachelor,Own,0,Web_Portal,APP-4122
30,198517.0,10610,572,5,2,High School,Own,0,Web_Portal,APP-1510
27,39629.0,37688,319,36,2,Master,Own,0,Web_Portal,APP-6794
44,,22925,351,36,2,High School,Own,0,Web_Portal,APP-9181
70,23217.0,44629,837,5,2,Bachelor,Rent,0,Web_Portal,APP-10417
40,133415.0,16629,739,35,0,PhD,Mortgage,0,Web_Portal,APP-1096
89,36489.0,39711,542,0,4,PhD,Own,1,Web_Portal,APP-7681
39,,13367,341,26,1,High School,Mortgage,0,Web_Portal,APP-2512
87,171391.0,21883,410,23,2,PhD,Rent,0,Web_Portal,APP-9791
53,114655.0,23450,792,14,4,Bachelor,Mortgage,0,Web_Portal,APP-1119
29,,34430,626,16,3,Bachelor,Rent,0,Web_Portal,APP-8791
33,90218.0,29359,377,36,4,Bachelor,Rent,1,Web_Portal,APP-7517
24,45816.0,42121,628,2,3,Master,Own,0,Web_Portal,APP-1033
61,180232.0,35029,735,38,2,PhD,Mortgage,1,Web_Portal,APP-8887
67,45933.0,6161,368,3,2,High School,Own,0,Web_Portal,APP-7830
48,193725.0,20638,846,18,3,PhD,Own,1,Web_Portal,APP-6421
54,91591.0,46487,385,25,0,Master,Own,0,Web_Portal,APP-2068
81,161929.0,16120,337,33,0,PhD,Mortgage,0,Web_Portal,APP-2347
46,142603.0,24926,330,17,0,Master,Own,1,Web_Portal,APP-5747
80,64870.0,35902,611,31,3,PhD,Own,1,Web_Portal,APP-7005
42,115894.0,29222,788,27,0,High School,Mortgage,0,Web_Portal,APP-7039
76,194946.0,20668,775,36,4,High School,Mortgage,0,Web_Portal,APP-4817
48,45757.0,22245,325,4,0,Bachelor,Rent,0,Web_Portal,APP-9446
24,115619.0,33141,380,36,0,Master,Rent,0,Web_Portal,APP-6269
49,124777.0,45482,438,8,2,High School,Mortgage,0,Web_Portal,APP-7897
79,109848.0,9965,820,16,0,Master,Rent,0,Web_Portal,APP-6309
20,61335.0,46578,513,13,0,High School,Mortgage,0,Web_Portal,APP-1031
65,129398.0,11322,529,0,3,PhD,Mortgage,1,Web_Portal,APP-6674
61,85994.0,33149,575,19,4,PhD,Mortgage,0,Web_Portal,APP-5386
72,63563.0,31365,699,13,3,PhD,Mortgage,0,Web_Portal,APP-1029
28,54593.0,35533,482,35,0,Bachelor,Rent,0,Web_Portal,APP-5202
67,29529.0,23203,457,39,1,PhD,Rent,0,Web_Portal,APP-8507
87,106153.0,2620,806,2,1,High School,Rent,0,Web_Portal,APP-1735
22,38909.0,12959,684,28,3,PhD,Own,0,Web_Portal,APP-3067
31,144501.0,31272,658,38,4,PhD,Mortgage,1,Web_Portal,APP-1106
66,40615.0,13132,506,7,4,High School,Rent,0,Web_Portal,APP-10644
57,56258.0,15205,812,0,3,PhD,Rent,0,Web_Portal,APP-9894
44,143747.0,18801,710,30,2,PhD,Own,0,Web_Portal,APP-9020
87,85180.0,17868,595,8,4,High School,Mortgage,0,Web_Portal,APP-3232
20,106089.0,25649,698,15,0,High School,Own,0,Web_Portal,APP-1993
64,72082.0,19079,692,16,1,High School,Own,0,Web_Portal,APP-10412
86,86457.0,11087,831,34,0,High School,Mortgage,0,Web_Portal,APP-8058
28,84723.0,37525,538,25,1,PhD,Mortgage,0,Legacy_System,APP-7789
75,22459.0,17340,777,31,0,High School,Rent,0,Web_Portal,APP-1360
42,189587.0,13436,375,31,4,Master,Mortgage,0,Web_Portal,APP-1304
58,184944.0,8038,414,30,2,Master,Rent,0,Web_Portal,APP-3627
73,162876.0,29304,475,2,4,High School,Rent,0,Web_Portal,APP-9965
45,64941.0,29401,724,17,3,High School,Own,0,Web_Portal,APP-5513
58,163489.0,10408,382,14,1,Master,Own,1,Web_Portal,APP-6910
43,181760.0,11174,826,17,2,PhD,Rent,0,Legacy_System,APP-9313
54,32699.0,20907,530,6,1,Bachelor,Mortgage,0,Web_Portal,APP-4100
55,138168.0,39392,839,26,0,PhD,Rent,1,Web_Portal,APP-6703
20,43528.0,15287,595,13,3,Bachelor,Own,0,Web_Portal,APP-4898
68,187713.0,40302,654,5,3,Bachelor,Own,1,Web_Portal,APP-6440
56,90072.0,3334,345,9,0,PhD,Mortgage,0,Web_Portal,APP-8930
74,119546.0,37393,717,23,0,Master,Mortgage,0,Web_Portal,APP-1621
55,143273.0,32528,330,5,3,PhD,Own,0,Web_Portal,APP-8235
55,36220.0,13289,336,11,4,Bachelor,Rent,0,Web_Portal,APP-3498
34,60647.0,22983,693,25,4,Master,Own,0,Web_Portal,APP-1713
20,182397.0,29798,338,31,4,High School,Mortgage,0,Web_Portal,APP-9403
62,,5198,564,33,0,Bachelor,Rent,0,Web_Portal,APP-3855
18,44395.0,6521,647,14,0,PhD,Mortgage,0,Web_Portal,APP-5269
26,66666.0,48373,331,0,3,PhD,Mortgage,0,Web_Portal,APP-3908
81,161985.0,29410,526,13,2,High School,Rent,1,Web_Portal,APP-9080
40,142080.0,39283,525,10,4,PhD,Mortgage,0,Web_Portal,APP-5516
85,,25599,385,21,1,Bachelor,Mortgage,0,Web_Portal,APP-2261
71,192648.0,28552,486,5,4,PhD,Mortgage,0,Web_Portal,APP-4160
73,119599.0,40529,312,24,1,PhD,Rent,0,Web_Portal,APP-1970
65,123841.0,11744,670,6,2,Bachelor,Own,0,Web_Portal,APP-4912
37,,23234,411,35,4,PhD,Rent,0,Web_Portal,APP-6198
85,77557.0,26856,673,17,4,Master,Rent,0,Web_Portal,APP-9846
81,169979.0,28411,599,30,4,High School,Rent,0,Web_Portal,APP-1259
81,50276.0,41472,539,12,4,Bachelor,Own,1,Web_Portal,APP-4790
51,46049.0,21055,664,24,1,Bachelor,Mortgage,0,Web_Portal,APP-10202
44,121131.0,47209,430,28,4,PhD,Rent,1,Web_Portal,APP-1487
78,61098.0,7300,627,19,4,Master,Own,0,Web_Portal,APP-8907
79,134300.0,29205,633,6,0,Bachelor,Own,0,Web_Portal,APP-1518
78,76902.0,26083,595,18,4,High School,Own,1,Web_Portal,APP-9342
62,68478.0,42348,680,8,1,Bachelor,Rent,0,Web_Portal,APP-1311
26,74235.0,27261,626,7,3,PhD,Own,0,Web_Portal,APP-4231
19,62974.0,32644,398,15,0,Bachelor,Rent,0,Web_Portal,APP-8932
23,144906.0,39891,657,7,0,PhD,Own,0,Web_Portal,APP-8457
45,194060.0,43164,790,31,0,PhD,Rent,0,Web_Portal,APP-10783
54,60151.0,38767,631,25,3,PhD,Mortgage,1,Web_Portal,APP-6183
75,127114.0,23451,629,21,2,Master,Rent,0,Web_Portal,APP-9076
56,164212.0,10365,497,7,0,High School,Mortgage,0,Web_Portal,APP-7501
19,63442.0,38564,509,19,0,Master,Own,1,Web_Portal,APP-7790
58,158774.0,31023,379,26,2,PhD,Rent,0,Web_Portal,APP-8772
37,178329.0,31932,346,17,0,PhD,Own,0,Web_Portal,APP-3737
65,79488.0,23825,842,4,4,Master,Own,1,Web_Portal,APP-8841
50,155611.0,20958,560,10,3,Bachelor,Own,0,Web_Portal,APP-7261
54,177781.0,44082,623,15,1,Master,Rent,0,Web_Portal,APP-9205
22,169760.0,13470,487,33,1,High School,Mortgage,0,Web_Portal,APP-2247
71,54001.0,39159,675,37,4,Bachelor,Mortgage,0,Web_Portal,APP-10335
73,180250.0,23711,449,3,3,PhD,Mortgage,1,Web_Portal,APP-5194
44,165096.0,45223,490,3,2,High School,Rent,0,Web_Portal,APP-9000
43,148658.0,18131,430,27,2,High School,Own,0,Web_Portal,APP-8377
76,,46491,371,30,1,PhD,Rent,0,Web_Portal,APP-4434
85,71524.0,27067,825,37,0,PhD,Mortgage,1,Web_Portal,APP-6381
45,66553.0,16329,442,33,0,Bachelor,Rent,0,Web_Portal,APP-1958
46,108495.0,47823,373,38,0,Bachelor,Own,0,Web_Portal,APP-1416
24,183331.0,11891,657,30,4,PhD,Mortgage,0,Web_Portal,APP-6741
58,47597.0,26937,469,6,0,High School,Own,0,Web_Portal,APP-7727
36,114978.0,11116,553,36,2,Bachelor,Rent,0,Web_Portal,APP-5381
48,74715.0,22700,826,16,3,PhD,Own,0,Web_Portal,APP-6196
57,183282.0,43514,563,5,2,PhD,Rent,0,Web_Portal,APP-2112
33,128139.0,6474,756,12,1,High School,Rent,1,Web_Portal,APP-3688
49,159769.0,41727,323,21,3,High School,Own,0,Web_Portal,APP-7472
58,153846.0,43118,487,14,3,Bachelor,Own,0,Web_Portal,APP-9819
59,72712.0,44277,378,23,3,Master,Own,0,Web_Portal,APP-8807
85,88354.0,43712,582,38,1,High School,Mortgage,1,Web_Portal,APP-4410
25,193327.0,2739,610,2,0,Bachelor,Own,0,Web_Portal,APP-1080
43,110627.0,17494,452,20,4,PhD,Mortgage,0,Web_Portal,APP-5613
21,27758.0,30404,760,34,1,Bachelor,Own,1,Web_Portal,APP-2373
61,,22002,470,17,3,Master,Rent,0,Web_Portal,APP-2509
45,69249.0,35572,780,33,1,Bachelor,Rent,1,Web_Portal,APP-7442
70,47617.0,19229,327,39,0,High School,Own,0,Web_Portal,APP-4070
40,61848.0,22388,616,29,3,High School,Own,0,Web_Portal,APP-4015
74,37426.0,48077,652,2,2,Master,Mortgage,0,Web_Portal,APP-5822
38,100501.0,40875,756,4,0,Master,Own,0,Web_Portal,APP-8821
29,26021.0,32022,392,2,3,Bachelor,Mortgage,1,Web_Portal,APP-1092
60,73509.0,47988,513,4,4,Bachelor,Rent,1,Web_Portal,APP-10420
60,32247.0,41995,540,37,3,Master,Own,0,Web_Portal,APP-7599
28,24983.0,1964,762,15,0,Master,Own,0,Web_Portal,APP-5442
50,102990.0,35068,467,32,0,Bachelor,Mortgage,0,Web_Portal,APP-8601
18,,40906,459,9,2,PhD,Rent,0,Web_Portal,APP-4834
70,176182.0,28684,806,21,0,PhD,Rent,0,Web_Portal,APP-10701
69,51828.0,25172,768,26,4,High School,Rent,0,Web_Portal,APP-5321
78,141139.0,16963,631,33,4,PhD,Own,0,Web_Portal,APP-4393
77,131800.0,17942,625,32,3,Bachelor,Rent,0,Web_Portal,APP-5751
81,28009.0,39742,725,30,4,PhD,Rent,0,Web_Portal,APP-8228
80,80693.0,20562,549,8,2,Master,Rent,0,Web_Portal,APP-10190
75,140591.0,49640,824,24,0,Bachelor,Rent,1,Web_Portal,APP-3360
49,89634.0,24763,814,30,1,PhD,Mortgage,1,Web_Portal,APP-2147
29,129875.0,32131,792,36,0,PhD,Mortgage,0,Web_Portal,APP-6665
26,117994.0,24038,332,16,0,Master,Rent,0,Web_Portal,APP-9074
31,117275.0,46531,548,4,4,Bachelor,Rent,0,Web_Portal,APP-5942
40,174986.0,33976,808,16,1,High School,Mortgage,0,Web_Portal,APP-4662
77,,10047,767,13,1,Master,Own,0,Web_Portal,APP-2562
89,159375.0,14217,431,29,4,PhD,Rent,0,Web_Portal,APP-5112
38,108340.0,3700,545,27,4,PhD,Own,0,Web_Portal,APP-10049
75,71663.0,15410,789,16,3,Master,Rent,0,Web_Portal,APP-10275
88,170371.0,46477,532,1,1,PhD,Own,0,Web_Portal,APP-9537
80,81742.0,33938,571,21,0,Bachelor,Mortgage,0,Web_Portal,APP-1794
21,58733.0,22653,716,38,2,Bachelor,Rent,1,Web_Portal,APP-6853
82,75361.0,4634,754,38,4,PhD,Mortgage,0,Web_Portal,APP-8618
54,143447.0,18329,321,26,3,PhD,Rent,0,Web_Portal,APP-2593
56,173291.0,15932,714,33,2,High School,Mortgage,0,Web_Portal,APP-8417
85,,38466,829,3,4,High School,Rent,0,Web_Portal,APP-6266
86,67930.0,1247,354,32,0,High School,Rent,0,Web_Portal,APP-8146
58,64859.0,28906,316,21,2,Bachelor,Rent,0,Web_Portal,APP-1088
85,64764.0,1028,624,29,2,PhD,Rent,0,Web_Portal,APP-9694
20,74888.0,32680,775,22,3,Master,Rent,0,Web_Portal,APP-10731
47,73318.0,44040,839,16,0,High School,Rent,0,Web_Portal,APP-10445
46,109791.0,3070,626,6,4,High School,Rent,1,Web_Portal,APP-7753
76,155933.0,30832,507,19,2,High School,Rent,0,Web_Portal,APP-4501
64,128534.0,33476,640,29,3,High School,Own,0,Web_Portal,APP-3233
18,,3332,641,19,1,PhD,Rent,0,Web_Portal,APP-3802
86,127437.0,30018,333,12,2,High School,Own,0,Web_Portal,APP-5423
81,30928.0,45093,842,37,3,Master,Rent,0,Web_Portal,APP-6662
18,,34128,782,23,4,Bachelor,Rent,1,Web_Portal,APP-8169
47,119011.0,38871,456,0,1,Bachelor,Rent,0,Web_Portal,APP-9336
33,163266.0,36502,319,17,4,Master,Rent,0,Web_Portal,APP-3147
28,143056.0,45449,500,33,3,Bachelor,Mortgage,0,Web_Portal,APP-8968
62,171141.0,19515,754,24,4,Master,Mortgage,1,Web_Portal,APP-7550
48,149132.0,2517,532,2,2,PhD,Own,1,Web_Portal,APP-8642
32,29458.0,3430,695,17,1,High School,Mortgage,0,Web_Portal,APP-7163
77,108757.0,34945,395,2,3,Bachelor,Rent,0,Web_Portal,APP-2494
76,100565.0,4459,689,28,3,Bachelor,Own,0,Web_Portal,APP-8695
57,117547.0,5398,424,17,0,PhD,Rent,0,Web_Portal,APP-8093
89,91713.0,22931,620,2,2,Master,Rent,0,Web_Portal,APP-2408
56,21316.0,13166,560,17,3,PhD,Rent,0,Web_Portal,APP-7690
82,45968.0,29044,479,35,4,High School,Own,0,Web_Portal,APP-4400
26,113708.0,47716,356,27,2,PhD,Rent,0,Web_Portal,APP-1108
47,114633.0,15666,767,26,1,Bachelor,Mortgage,0,Web_Portal,APP-6635
55,,40826,679,12,0,PhD,Rent,0,Web_Portal,APP-9481
87,20527.0,2946,624,0,3,High School,Own,0,Web_Portal,APP-7603
53,60910.0,4800,494,6,1,PhD,Own,0,Legacy_System,APP-2090
75,52264.0,38709,500,34,3,PhD,Rent,0,Web_Portal,APP-6559
48,187354.0,24948,325,10,0,Bachelor,Rent,1,Web_Portal,APP-10411
22,133838.0,38603,658,17,4,PhD,Mortgage,1,Web_Portal,APP-9142
89,79615.0,21008,792,13,0,Master,Rent,0,Web_Portal,APP-9663
86,117812.0,39871,751,39,2,Bachelor,Rent,1,Web_Portal,APP-7595
64,76271.0,9951,817,17,1,PhD,Own,0,Web_Portal,APP-1623
40,124303.0,4532,320,30,2,PhD,Mortgage,1,Web_Portal,APP-7870
74,110027.0,16560,495,10,3,High School,Rent,1,Web_Portal,APP-5813
37,175218.0,23027,598,20,3,Bachelor,Rent,0,Web_Portal,APP-7552
37,149802.0,8185,739,14,1,High School,Mortgage,0,Web_Portal,APP-8529
69,140756.0,5236,658,28,1,High School,Mortgage,0,Web_Portal,APP-6795
41,122876.0,29439,423,18,1,PhD,Rent,0,Web_Portal,APP-8436
66,183818.0,25104,746,3,2,High School,Own,0,Web_Portal,APP-5217
72,122633.0,30955,834,26,4,PhD,Mortgage,0,Web_Portal,APP-6940
26,104403.0,42876,308,32,3,High School,Own,0,Web_Portal,APP-9500
41,136801.0,10995,639,21,3,Master,Mortgage,0,Web_Portal,APP-7428
48,103406.0,14440,782,38,4,Bachelor,Rent,0,Web_Portal,APP-7826
30,81248.0,27965,828,17,2,PhD,Mortgage,0,Web_Portal,APP-5130
31,45280.0,36301,805,13,2,Master,Own,0,Web_Portal,APP-8801
47,20973.0,20504,757,21,4,High School,Rent,0,Web_Portal,APP-8753
46,125481.0,5821,695,13,1,Master,Own,0,Web_Portal,APP-5721
85,44464.0,47436,584,5,0,PhD,Mortgage,0,Web_Portal,APP-2650
41,114194.0,35595,829,23,1,Master,Mortgage,1,Web_Portal,APP-5140
70,196722.0,34365,752,34,3,Master,Own,0,Web_Portal,APP-2617
27,137213.0,29340,458,11,4,PhD,Rent,1,Web_Portal,APP-3029
59,29850.0,37759,552,5,1,High School,Mortgage,0,Web_Portal,APP-9517
26,95276.0,45963,658,4,1,PhD,Own,1,Web_Portal,APP-5575
65,63773.0,28384,344,20,3,Bachelor,Own,0,Web_Portal,APP-4992
78,94667.0,34447,548,16,1,Master,Own,1,Web_Portal,APP-8376
35,57597.0,2783,305,33,4,Bachelor,Mortgage,0,Web_Portal,APP-7149
29,177904.0,14950,304,32,0,Bachelor,Rent,0,Web_Portal,APP-5908
41,72664.0,9752,755,34,1,Master,Own,0,Web_Portal,APP-6026
37,144650.0,32775,647,12,3,Master,Mortgage,0,Web_Portal,APP-9260
56,,30236,615,6,1,High School,Rent,1,Web_Portal,APP-5731
60,36375.0,20171,350,30,1,Bachelor,Own,0,Web_Portal,APP-8548
25,198501.0,24867,524,10,2,Bachelor,Mortgage,1,Web_Portal,APP-9134
43,169078.0,20845,408,19,0,Master,Own,0,Web_Portal,APP-2606
45,40910.0,18798,363,36,1,High School,Rent,0,Web_Portal,APP-5773
45,124583.0,3208,503,16,2,High School,Mortgage,1,Web_Portal,APP-9109
54,25839.0,10984,388,28,2,Master,Own,0,Web_Portal,APP-7951
60,85214.0,1964,521,8,0,High School,Rent,0,Web_Portal,APP-7004
63,118369.0,17548,794,16,3,PhD,Rent,0,Web_Portal,APP-8728
32,50982.0,25502,550,28,2,Bachelor,Rent,0,Web_Portal,APP-4541
51,73806.0,14829,735,6,4,High School,Rent,1,Web_Portal,APP-1388
