SqFt,Bedrooms,Bathrooms,Age,Neighborhood,Garage,Price
3359,1,3,54,Suburban,0,522375.0678886605
750,1,2,64,Urban,0,121049.78696991097
2732,4,1,10,Urban,0,479510.1670859326
2087,1,2,15,Rural,1,332841.6858382912
3767,4,3,38,Rural,0,661104.3895201577
2907,2,3,88,Suburban,1,470801.9282116697
3642,3,1,10,Urban,1,602625.2656542354
4245,3,2,59,Suburban,1,681552.9782881223
4930,1,1,65,Suburban,0,757284.4081773256
517,3,2,96,Suburban,1,129311.07136500359
2845,1,3,38,Suburban,0,452661.2069051436
4630,5,3,82,Urban,0,791043.9582506986
3618,4,3,57,Urban,1,636832.7861423342
4448,3,3,36,Urban,1,730667.7440950976
908,4,2,47,Rural,0,209340.12990609076
715,4,2,63,Urban,0,189140.8224021868
3832,5,1,26,Rural,1,660327.264392506
1241,2,3,51,Suburban,1,235930.53193665075
2758,4,2,2,Suburban,1,486061.04390545655
2846,4,2,33,Rural,1,499084.5643665048
3858,4,2,25,Suburban,0,653309.8460828791
744,4,2,76,Suburban,1,178844.4940578545
2266,5,1,67,Rural,1,448471.76995281794
1844,2,3,8,Urban,1,321969.08681109495
2303,5,2,60,Suburban,0,434654.2807822325
1530,3,2,68,Urban,1,279574.6669530692
3458,2,2,72,Urban,0,547402.6135859633
4946,3,2,71,Urban,0,792655.2375773155
2258,1,2,2,Urban,1,365564.0928153827
3815,3,1,35,Rural,1,632852.6398961749
3609,4,3,85,Urban,0,636766.3589275004
1224,5,2,38,Rural,0,290564.4553692624
1015,1,3,55,Urban,0,177833.0307429117
4647,3,3,0,Suburban,1,758210.2902875539
4805,4,1,91,Suburban,0,792060.3110743167
2686,5,2,76,Urban,0,488943.7443246958
3422,4,2,82,Urban,0,594507.7447235835
2307,3,1,51,Urban,1,409427.5533453126
3920,4,2,70,Urban,0,646434.1269427573
836,5,1,54,Suburban,1,236072.2360378155
786,3,2,93,Suburban,0,191244.7461724153
3327,4,2,81,Rural,1,577672.3264094504
1887,4,3,67,Urban,0,347357.3963189383
3862,5,1,59,Urban,0,676239.5490935873
1641,1,1,32,Suburban,0,256939.3780762774
2846,1,3,39,Rural,0,441367.1854752852
4506,5,2,97,Urban,1,793904.2156736291
4210,5,2,36,Suburban,1,739071.4071037374
4398,2,2,44,Suburban,1,719269.5000112779
1801,2,1,94,Urban,1,306078.4542005954
3713,3,2,96,Rural,0,624132.1154984707
4362,5,3,48,Rural,0,751743.9555637506
501,3,3,50,Urban,1,122445.56084155742
1298,3,1,20,Urban,1,253862.15460027888
2464,2,3,11,Urban,1,397344.58810996154
1468,3,2,92,Rural,1,287576.1245181249
684,2,3,43,Rural,0,130384.55303234544
520,5,3,91,Urban,0,164617.3329508703
1515,2,3,70,Rural,0,260103.2782635412
527,5,2,71,Rural,0,185012.32100332298
2911,1,3,88,Urban,0,456898.7713403452
1128,2,1,93,Urban,0,206156.68632369273
1509,1,2,16,Urban,1,249420.00576707302
863,1,3,72,Urban,0,129988.5244108931
1207,1,2,86,Rural,0,219371.0681330642
2384,4,2,74,Rural,0,440879.35420071514
4743,4,2,98,Urban,0,806714.3394605817
924,3,2,33,Urban,1,193798.7175994576
3630,3,3,71,Suburban,0,600954.4625849514
736,1,2,56,Suburban,0,130265.6521381156
2251,4,2,30,Urban,0,408810.783681868
2916,1,2,5,Suburban,0,456193.4281517643
1669,1,3,89,Suburban,1,256683.24990015596
4632,2,1,73,Urban,1,728814.6814328424
2362,4,3,97,Suburban,1,439126.4579425878
723,3,2,3,Suburban,1,173619.02841088307
690,4,3,35,Urban,1,193282.75008184143
1638,5,3,97,Rural,1,357891.835609846
2713,1,2,78,Rural,1,429530.4813281126
3977,3,2,75,Suburban,1,636381.3846479299
4499,3,2,27,Suburban,1,735196.8471941598
2020,4,3,5,Rural,0,389776.23787183804
1783,1,3,24,Rural,0,293867.5097062746
1204,2,1,18,Urban,1,223532.37505052055
4007,3,1,1,Rural,1,667335.222778141
1337,1,2,9,Rural,1,223841.61374502847
2188,5,3,25,Urban,0,432017.28435767634
517,1,2,74,Suburban,0,91257.6361329276
4034,2,2,58,Suburban,0,636641.8634184172
2236,3,1,46,Suburban,1,400265.3217753779
3198,3,1,53,Urban,0,549479.0807161101
4601,4,3,39,Suburban,1,771609.577669088
4019,3,3,97,Urban,1,636883.8908318876
2621,4,1,80,Urban,1,481919.947943775
2303,5,3,1,Suburban,1,441653.90349835885
955,3,1,37,Suburban,0,207606.78392308077
3489,2,2,17,Urban,0,555394.5426945846
2463,2,3,68,Urban,1,404325.34931929904
3451,3,1,16,Suburban,1,571087.8614559012
1497,3,1,90,Suburban,0,285284.7264024742
3688,5,3,88,Suburban,0,658518.6599569038
4263,4,2,80,Rural,1,742020.4874268164
2123,2,2,26,Suburban,1,363435.9968213727
3811,4,3,4,Rural,0,643799.932995208
1641,1,3,17,Suburban,1,250680.09410030898
2053,4,2,79,Suburban,0,405439.4743576208
1930,5,1,13,Urban,0,384695.92568135116
4615,3,3,4,Suburban,0,760013.4260884969
664,2,1,95,Urban,0,133385.56258577568
4667,1,2,85,Suburban,1,718733.5636855935
3030,5,2,20,Suburban,1,555049.7450261711
823,1,3,74,Urban,1,144712.77850626787
1188,5,3,19,Rural,1,272458.59876335954
4901,5,3,11,Suburban,0,845581.8644067225
4591,4,3,27,Rural,0,788533.5941250233
854,3,1,14,Rural,0,183439.90696607067
3293,1,1,94,Urban,0,497977.24254319514
3787,4,1,73,Suburban,0,648885.6059643058
749,1,3,46,Rural,0,136956.40888445542
3562,1,1,46,Rural,1,536540.4841097924
4701,5,3,91,Urban,1,802682.4724710741
3425,5,1,85,Urban,1,607087.3455434603
4910,2,1,97,Urban,1,782997.4504845901
1045,3,3,69,Rural,0,206364.50818743854
1468,3,3,88,Rural,1,286949.4335148749
2437,5,2,51,Suburban,1,475761.60308926343
533,3,3,10,Urban,1,145596.09371670464
2472,2,3,90,Urban,1,401998.7569447927
4619,4,1,95,Urban,1,764532.1814615242
2877,2,2,28,Rural,0,473246.623116789
2772,5,3,84,Suburban,0,505525.4340533227
2402,3,1,18,Suburban,0,422558.99858113687
3154,5,3,18,Rural,1,593169.8524357263
1511,3,3,16,Urban,0,286732.13562329544
4675,1,1,6,Suburban,1,716713.2926157517
3059,1,2,47,Suburban,0,498651.11378145544
2772,3,1,13,Suburban,0,476329.1786546574
701,5,2,94,Urban,1,202570.70127497436
2373,4,1,26,Urban,0,447747.88695982186
1267,2,3,27,Suburban,1,217517.07438385038
688,3,2,14,Rural,0,158538.91069348177
4061,5,2,62,Rural,1,701163.6059459712
2013,1,3,71,Suburban,0,317987.54737117793
1720,3,3,90,Rural,1,329463.485680679
2336,2,3,58,Rural,0,392297.2805972284
3596,2,3,52,Suburban,1,577158.2199303574
4385,4,3,50,Rural,0,739659.818365632
880,4,1,94,Urban,0,218715.75436499188
4062,5,2,16,Urban,1,717155.0820029366
4556,2,2,64,Urban,0,729531.1771932374
2522,4,2,78,Urban,1,467604.78509948537
568,2,3,22,Rural,1,117580.68377261343
4182,5,2,10,Urban,0,737074.3168363614
3684,2,1,90,Suburban,0,600780.7738768246
811,2,2,45,Urban,1,150874.97049318894
1519,4,3,43,Rural,1,298507.71083108254
892,2,3,67,Suburban,1,177411.71376770732
2243,5,2,36,Rural,0,437487.9454844072
705,1,2,73,Suburban,1,134915.1876020568
541,3,1,88,Rural,1,146739.0096598724
2509,1,1,85,Urban,1,401494.8481990809
4775,4,1,13,Suburban,0,799865.0048802887
4991,2,3,81,Suburban,0,783499.3924614039
3320,2,1,95,Rural,1,548159.0725512952
4520,3,1,25,Rural,0,724519.4314247166
2775,2,3,11,Urban,0,465337.6900529381
768,2,2,97,Suburban,0,182924.20258784443
4965,1,1,93,Rural,1,778929.7405779742
4509,4,2,43,Suburban,0,755937.9364073027
1119,1,2,65,Urban,0,193568.95088639762
4280,4,3,71,Urban,0,738109.9408386374
1124,1,2,41,Urban,0,173531.5324820293
1824,3,1,73,Suburban,1,338748.97242512193
4197,4,2,88,Urban,0,702774.472508262
3354,2,1,6,Suburban,0,564336.7063588266
4443,3,1,77,Rural,0,736425.3817406637
931,1,3,39,Suburban,1,160236.05798292934
791,3,1,97,Rural,1,169098.57376016185
4090,5,2,86,Suburban,0,712184.0400250878
2743,2,1,22,Suburban,1,447476.0666516726
4555,1,2,66,Suburban,1,710675.6955753946
3640,1,1,88,Urban,1,579911.4249324277
2696,1,1,97,Suburban,0,437727.0640187539
3869,5,1,44,Suburban,0,689451.0117764914
2578,2,2,69,Urban,0,421759.32471665373
3338,1,2,24,Rural,0,536241.4968707841
600,3,2,91,Suburban,1,155762.57691907758
2989,4,2,22,Rural,0,522252.6506538866
786,4,1,11,Suburban,0,201538.1864417613
3970,1,1,69,Suburban,0,604865.4782701207
760,4,1,2,Suburban,0,202714.42876182674
4573,1,1,0,Suburban,1,705943.7534471302
925,5,1,77,Suburban,1,229395.5584707048
2419,4,1,77,Rural,1,422772.328369895
599,5,1,93,Urban,1,196832.76637679004
3823,2,1,33,Suburban,1,622417.5771646508
4742,3,1,81,Urban,1,783765.4364798514
1023,4,1,67,Urban,0,238492.11474551438
874,3,2,27,Rural,1,201347.63705490215
3563,3,1,99,Suburban,1,589783.9968476134
649,5,3,0,Suburban,0,195617.94878989257
3554,1,1,68,Rural,1,554998.6979157014
2496,1,2,24,Suburban,1,396300.42781424813
2155,2,3,59,Urban,0,366926.6324886288
522,4,2,60,Urban,0,155759.46066655673
1551,5,3,43,Suburban,1,317903.43935408694
3915,4,3,56,Rural,1,652795.0701184748
2795,4,3,32,Suburban,0,509706.6161487254
4932,3,3,72,Suburban,1,804560.5128961917
4164,5,3,94,Suburban,1,729256.3037552292
3674,2,3,32,Urban,0,586832.8727894598
775,5,2,38,Urban,1,212582.16142393652
3128,2,1,33,Rural,0,520171.3066898053
3677,5,1,15,Urban,0,653908.664345634
1403,4,1,86,Suburban,1,300296.702608595
1265,3,1,68,Urban,0,224329.15257351354
2511,5,3,67,Suburban,0,482272.8436739117
4770,3,3,30,Urban,1,781355.1133228646
683,1,3,14,Suburban,0,97597.84869747848
1158,4,3,68,Rural,0,248756.98053631632
3256,3,2,60,Urban,0,525644.9256217234
2637,1,3,70,Urban,0,407143.24581052153
4448,3,2,6,Suburban,1,725398.2764533436
4347,3,1,36,Rural,1,693257.2501731444
3585,4,2,94,Suburban,0,609944.2077842057
926,1,3,70,Rural,0,167195.7788551294
3992,2,1,50,Suburban,0,648594.7660074404
1218,1,1,91,Urban,0,205920.35904865648
3766,2,1,17,Suburban,0,614583.9215459091
4691,4,2,10,Rural,0,779039.5526651518
3167,5,1,46,Urban,1,576882.8866219396
2591,3,1,43,Rural,1,444046.19923694065
3648,3,3,80,Urban,1,598620.0456891115
985,5,3,31,Urban,1,258260.9235869517
1634,2,1,45,Urban,0,279678.3533801482
719,1,1,42,Rural,0,118623.8693451164
4974,1,1,76,Suburban,1,764921.2678014786
4421,3,2,74,Rural,1,716210.6166632042
759,1,1,94,Rural,0,134569.31563031662
2088,2,3,46,Urban,1,347919.39487161156
2723,1,2,46,Rural,1,411545.5730228081
4050,3,2,92,Urban,1,685087.3488176081
904,4,3,59,Urban,1,212192.65044477975
832,3,3,25,Suburban,1,172361.32484647448
4530,4,3,54,Suburban,1,769377.1333480382
2852,4,2,31,Urban,1,506782.9912010058
3197,3,2,40,Suburban,0,537624.7225960293
1071,1,3,13,Urban,0,181592.88805338874
4004,4,2,65,Suburban,0,676851.0944983761
1423,2,3,9,Urban,1,266064.5289601114
3145,1,1,59,Suburban,0,467553.59610400314
3630,5,1,52,Suburban,1,643639.262445366
3426,3,1,70,Suburban,1,568177.6445553817
2502,5,3,56,Rural,0,480044.49353160773
2896,5,3,32,Suburban,0,536068.9699292898
3455,1,2,92,Rural,0,518942.7499351059
872,4,1,16,Suburban,0,219278.22251085588
1570,4,2,16,Urban,1,324526.5531683795
4171,4,3,8,Urban,0,714804.9963758971
3630,4,1,69,Urban,0,613649.0084223087
1066,1,1,24,Urban,1,186994.2897291599
4057,2,1,7,Rural,0,644612.6830866718
3669,1,1,54,Rural,1,573968.5866684282
1842,3,2,96,Urban,0,334980.8288228028
4011,1,2,28,Rural,0,636448.5115559495
3368,4,1,24,Rural,0,584787.4120547238
2983,5,1,62,Rural,1,540089.6644901861
2162,1,3,70,Rural,1,341776.3973774414
4929,4,3,2,Suburban,1,817537.4177259948
4919,5,2,77,Urban,1,829235.795069471
4740,2,2,67,Suburban,1,760260.8032997019
707,3,3,2,Rural,0,154083.89485579403
4027,3,3,75,Suburban,1,680811.6299328543
4757,3,1,89,Suburban,1,778180.3744906618
1786,4,3,31,Rural,0,338802.4010211675
4462,2,2,87,Urban,0,691518.1721016407
541,4,1,32,Suburban,1,163690.3009944632
2918,5,1,23,Urban,0,529357.7093304074
4648,1,3,97,Suburban,0,722633.9165023847
2928,1,1,47,Rural,0,447729.7693974592
3911,5,1,76,Rural,0,696715.4826878803
4989,4,2,68,Urban,0,839247.9819648612
2721,1,3,96,Urban,0,430289.0953213678
2579,1,1,96,Urban,0,412921.58127979207
2235,2,3,19,Rural,0,393209.77955831686
3809,5,2,56,Suburban,0,673869.1328285486
4005,4,3,36,Rural,0,684606.3066960963
4965,3,3,6,Urban,0,808786.4432355749
2287,3,3,57,Urban,1,394542.5086652867
3766,5,1,3,Rural,0,668973.0720013084
3127,1,1,76,Suburban,1,510716.1986748705
4079,3,3,29,Urban,1,674315.6843235623
854,5,2,41,Rural,0,224587.23456474152
1248,3,3,63,Rural,0,258291.80980993612
1409,1,2,62,Urban,0,218305.7460942605
1358,5,1,79,Urban,0,316136.18691919284
1314,4,2,2,Rural,0,278256.90512859175
3653,1,3,72,Urban,0,577670.9856670322
1110,1,3,45,Urban,1,192207.44231074912
1477,3,1,18,Suburban,1,274738.76931778825
1201,2,2,1,Suburban,0,216303.84631043763
3898,3,3,51,Urban,0,657350.6831478889
2826,4,1,2,Rural,0,492976.53085828276
664,3,3,77,Suburban,1,168722.7183160633
4389,3,2,90,Urban,0,712002.9121607248
1758,5,1,34,Suburban,1,369243.67556325975
3438,2,2,87,Urban,1,557268.682254807
2464,1,2,15,Urban,0,404139.5316443254
4960,2,2,66,Suburban,0,784586.8457869705
836,5,3,84,Urban,1,221586.8336263861
2467,4,3,43,Urban,0,459165.40101239923
691,4,2,66,Rural,0,173102.58132492943
3806,1,1,61,Rural,1,580278.6210186597
1360,3,1,62,Suburban,1,257272.8019356036
744,1,1,77,Suburban,0,132676.48424475614
4223,4,1,45,Rural,0,721263.579704535
2064,5,1,56,Rural,0,411336.1787285827
1692,1,2,81,Rural,0,286202.18913728406
2517,1,3,46,Suburban,0,400696.30747167935
2986,3,1,64,Rural,0,502303.10898710915
1973,1,1,19,Rural,1,318859.17546167725
3034,5,3,73,Rural,1,558379.1356327514
3152,3,3,25,Urban,0,529836.3199002361
2079,3,3,11,Suburban,1,381458.4359559401
4333,1,2,80,Rural,1,669561.1318419285
891,3,3,85,Urban,1,179461.1294457006
4338,5,2,74,Rural,0,760131.3197424399
941,3,1,82,Suburban,0,199970.85720097786
4008,3,2,89,Rural,0,651045.4717021149
688,3,1,11,Rural,1,175327.34001728566
3418,2,3,45,Suburban,1,575680.3332012482
2823,3,3,87,Urban,1,484115.53155568795
1883,4,3,22,Urban,0,345654.5277963608
4187,3,2,74,Urban,1,687572.6749552338
4853,5,2,72,Suburban,0,821639.1802885764
4452,5,3,42,Suburban,0,768780.9944187048
1634,5,2,31,Rural,0,347700.34060501127
1382,1,2,28,Suburban,1,220061.0730911456
3875,2,3,60,Rural,0,627394.1008243657
1708,3,3,98,Suburban,1,333003.5779584833
2522,2,1,86,Suburban,0,419022.9111018334
526,5,2,68,Suburban,1,169462.31526177938
2687,2,1,97,Rural,1,460342.1495679151
1335,1,1,94,Suburban,0,211266.5690555505
2985,1,3,66,Rural,0,457221.9616760387
3470,3,3,29,Suburban,1,556645.0735429828
4316,2,1,57,Suburban,1,686281.9552590598
2296,5,1,54,Rural,0,445754.4065442012
4312,4,3,24,Urban,1,703299.4443248777
1549,5,3,8,Rural,1,326686.3274073096
2696,1,3,67,Urban,1,423334.7016203603
1108,2,1,58,Suburban,0,187978.74846488753
1079,5,1,56,Suburban,0,264713.98109532683
2576,5,1,33,Urban,0,495219.39049881103
3031,2,3,71,Rural,0,498257.469650985
988,2,1,49,Urban,1,188728.85174094088
616,3,2,94,Suburban,0,152951.74397405158
2215,1,3,13,Rural,0,337791.2326982286
4843,1,3,25,Urban,0,753287.374554226
3357,1,1,68,Suburban,0,519316.3333054093
3597,2,3,37,Urban,1,582163.5915518698
3114,1,2,33,Rural,0,482808.50853475253
845,1,1,18,Rural,1,138544.44537398015
3991,4,3,65,Suburban,0,674965.7899617186
3992,5,3,27,Suburban,1,676323.2417666157
3881,3,1,89,Rural,1,640426.3416417026
4458,4,1,62,Suburban,0,748018.0439366117
